#{"t_start": 1775974238.6233823, "env_id": "None"}
r,l,t
-24.934386,2,3.300584
-46.943431,4,3.301581
-23.097364,2,3.302581
-27.757704,2,3.303581
-27.606736,3,3.304593
-48.698086,6,3.306581
-41.913674,3,3.30758
-78.6275,5,3.308581
-41.709343,3,3.30958
-21.522468,3,3.31058
-20.544531,2,3.31158
-22.253776,2,3.31158
-32.322347,3,3.31258
-25.666598,3,3.31358
-37.664932,3,3.31458
-25.245813,3,3.315575
-42.473835,3,3.316584
-51.286631,3,3.317581
-39.888438,3,3.318581
-35.89043,3,3.31958
-34.008965,3,3.321581
-26.777051,3,3.32258
-60.714755,6,3.32558
-44.963653,4,3.32758
-36.419336,3,3.32858
-32.739574,3,3.32958
-40.313732,3,3.330581
-20.838571,2,3.331581
-43.086657,3,3.332581
-40.344335,3,3.33358
-21.47011,2,3.33458
-70.459161,8,3.33658
-42.913367,4,3.33858
-51.226244,3,3.33958
-19.824274,2,3.33958
-38.213078,5,3.34158
-40.615474,3,3.342581
-49.669228,3,3.34358
-43.704013,3,3.34458
-52.241866,3,3.345581
-31.46741,3,3.34658
-34.030056,3,3.34758
-22.11341,2,3.34758
-39.021325,5,3.34958
-4.77078,11,3.35358
-21.461058,2,3.35358
-48.812044,5,3.35758
-36.490984,4,3.35858
-26.997171,3,3.35958
-38.501768,3,3.360581
-21.183128,3,3.361598
-27.60158,5,3.362597
-40.51078,3,3.363596
-42.325609,3,3.364596
-46.806645,3,3.365597
-40.609051,3,3.366597
-20.550784,2,3.367596
-27.727852,2,3.368596
-35.821936,3,3.369596
-33.561988,10,3.373597
-26.420649,3,3.375598
-35.336461,3,3.376121
-42.322638,3,3.378139
-29.489965,3,3.379139
-29.073745,3,3.380139
-53.243235,3,3.38114
-21.375259,2,3.38214
-38.974911,3,3.383139
-41.659892,3,3.38414
-27.591364,4,3.38514
-47.931421,3,3.386139
-36.315329,3,3.387141
-48.405203,3,3.38814
-37.471739,4,3.39014
-31.566991,3,3.39114
-34.924606,3,3.393139
-44.886501,3,3.394139
-41.529402,4,3.396139
-21.089681,2,3.396139
-25.646296,3,3.398139
-36.661837,4,3.39914
-33.446742,5,3.40114
-32.636922,3,3.40214
-34.705453,3,3.403141
-27.927025,3,3.40414
-36.156469,3,3.405141
-41.172287,3,3.40614
-30.97652,3,3.40714
-41.466072,3,3.408139
-51.199301,5,3.410139
-20.293558,2,3.410139
-27.878656,2,3.411139
-22.111365,2,3.412139
-29.914578,3,3.412139
-60.132985,6,3.41414
-42.149212,3,3.415139
-45.801643,3,3.416139
-41.968457,4,3.418139
-60.946666,6,3.420144
-33.599172,4,3.42214
-40.150913,3,3.42314
-45.020529,3,3.424139
-49.177393,3,3.426139
-44.65062,4,3.42714
-32.923796,3,3.428139
-45.348882,3,3.430139
-29.06368,4,3.431139
-31.53483,4,3.43314
-21.100794,2,3.43314
-39.113237,3,3.434139
-24.177812,2,3.435141
-44.794652,3,3.436139
-37.168609,3,3.43714
-41.837001,3,3.43814
-21.427701,2,3.43914
-47.343359,7,3.441139
-47.968874,3,3.442139
-54.06387,7,3.444139
-37.993552,3,3.44514
-40.856891,5,3.44714
